person_type,name,surname,pesel,height,weight,email,employment_start_date,position,salary,school_name,year_of_study,field_of_study,scholarship,pension,years_worked
STUDENT,name,surname,42248873648,10,10,email110100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,25941153971,10,10,email210100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,59948128175,10,10,email310100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,80954657182,10,10,email410100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,67710566534,10,10,email510100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,63684473755,10,10,email610100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,41159790790,10,10,email710100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,86222762841,10,10,email810100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,24770685777,10,10,email910100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,58491486271,10,10,email1010100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,18947799153,10,10,email1110100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,31145841823,10,10,email1210100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,18662451499,10,10,email1310100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,21134520013,10,10,email1410100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,88007450631,10,10,email1510100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,22425686955,10,10,email1610100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,58730084492,10,10,email1710100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,53585764263,10,10,email1810100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,65512303881,10,10,email1910100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,11194018454,10,10,email2010100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,68586742358,10,10,email2110100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,37139793379,10,10,email2210100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,30664797871,10,10,email2310100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,10132687263,10,10,email2410100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,33445286910,10,10,email2510100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,24452120983,10,10,email2610100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,49041659529,10,10,email2710100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,67150712007,10,10,email2810100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,24417652730,10,10,email2910100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,78517832890,10,10,email3010100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,70427165257,10,10,email3110100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,19980606135,10,10,email3210100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,29623387367,10,10,email3310100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,69009449201,10,10,email3410100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,53167854586,10,10,email3510100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,61313134923,10,10,email3610100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,44359446411,10,10,email3710100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,33132772956,10,10,email3810100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,86649302123,10,10,email3910100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,18088447733,10,10,email4010100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,58851941956,10,10,email4110100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,80486930056,10,10,email4210100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,23195468400,10,10,email4310100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,36761511703,10,10,email4410100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,51871145538,10,10,email4510100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,41554444310,10,10,email4610100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,87209301910,10,10,email4710100@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,66188697917,10,10,email4810100@test.com,null,null,null,school,2,field,100,null,null
